type,name,city,county,state,latitude,longitude,total_cases,total_deaths,latest_inmate_population,max_inmate_population_2020,total_inmate_cases,total_inmate_deaths,total_officer_cases,total_officer_deaths,prision_type,prision_fips,note
Prision,Felmers O. Chaney Correctional Center,Milwaukee,Milwaukee,Wisconsin,43.070132,-87.9518766,46,0,64,100,40,0,6,0,State prison,55079,
Prision,Flambeau Correctional Center,Winter,Sawyer,Wisconsin,45.656576,-90.740935,20,0,39,39,14,0,6,0,State prison,55113,
Prision,Fox Lake Correctional Institution,Fox Lake,Dodge,Wisconsin,43.6149518,-88.9130011,1053,2,1257,1282,906,2,147,0,State prison,55027,
Prision,Gordon Correctional Center,Gordon,Douglas,Wisconsin,46.2324103,-91.7540128,59,0,64,80,48,0,11,0,State prison,55031,
Prision,Green Bay Correctional Institution,Allouez,Brown,Wisconsin,44.4705164,-88.0371755,622,1,1000,1008,482,1,140,0,State prison,55009,
Prision,The Grow Academy,Oregon,Kenosha,Wisconsin,42.5797168,-87.8202707,0,0,2,0,0,0,0,0,State juvenile detention,55059,
Prision,Jackson Correctional Institution,Black River Falls,Jackson,Wisconsin,44.3053654,-90.7906195,689,0,923,986,605,0,84,0,State prison,55053,
Prision,John C. Burke Correctional Center,Waupun,Dodge,Wisconsin,43.6207471,-88.7361986,60,0,180,194,40,0,20,0,State prison,55027,
Prision,Kenosha Correctional Center,Kenosha,Kenosha,Wisconsin,42.5761335,-87.8265155,15,0,40,119,8,0,7,0,State prison,55059,
Prision,Kettle Moraine Correctional Institution,Plymouth,Sheboygan,Wisconsin,43.7235031,-88.1491317,1035,1,1091,1148,886,1,149,0,State prison,55117,
Prision,Marshall E. Sherrer Correctional Center,Milwaukee,Milwaukee,Wisconsin,43.0475614,-87.9296434,24,0,40,53,9,0,15,0,State prison,55079,
Prision,McNaughton Correctional Center,Tomahawk,Oneida,Wisconsin,45.8005658,-89.6309924,80,0,109,110,71,0,9,0,State prison,55085,
Prision,Milwaukee Secure Detention Facility,Milwaukee,Milwaukee,Wisconsin,43.0433928,-87.9246418,230,0,413,466,150,0,80,0,State prison,55079,
Prision,Milwaukee Women's Correctional Center,Milwaukee,Milwaukee,Wisconsin,43.0814735,-87.9188944,44,0,74,74,30,0,14,0,State prison,55079,
Prision,New Lisbon Correctional Institution,New Lisbon,Juneau,Wisconsin,43.8811854,-90.131775,643,0,1030,1030,552,0,91,0,State prison,55057,
Prision,Oakhill Correctional Institution,Oregon,Dane,Wisconsin,42.961263,-89.3946216,484,1,646,671,424,1,60,0,State prison,55025,
Prision,Oakhill Correctional Institution,Fitchburg,Dane,Wisconsin,42.9511419,-89.3977145,3,0,108,108,1,0,2,0,State prison,55025,
Prision,Oshkosh Correctional Institution,Oshkosh,Winnebago,Wisconsin,44.0692813,-88.5615462,1162,4,1927,1999,1033,4,129,0,State prison,55139,
Prision,Prairie du Chien Correctional Institution,Prairie du Chien,Crawford,Wisconsin,43.0342492,-91.1410106,489,1,487,506,414,1,75,0,State prison,55023,
Prision,Racine Correctional Institution/Sturtevant Transitional Facility,Sturtevant,Racine,Wisconsin,42.7131259,-87.8987349,1316,2,1590,1608,1179,2,137,0,State prison,55101,
Prision,Racine Youthful Offender Correctional Facility,Racine,Racine,Wisconsin,42.7369827,-87.7993116,196,0,369,0,138,0,58,0,State juvenile detention,55101,
Prision,Redgranite Correctional Institution,Redgranite,Waushara,Wisconsin,44.0538254,-89.1076388,450,3,942,1004,362,3,88,0,State prison,55137,
Prision,Robert E. Ellsworth Correctional Center,Union Grove,Racine,Wisconsin,42.6966715,-88.0806384,281,0,360,375,242,0,39,0,State prison,55101,
Prision,Sanger B. Powers Correctional Center,Oneida,Outagamie,Wisconsin,44.5408489,-88.1917526,65,0,97,99,63,0,2,0,State prison,55087,
Prision,Saint Croix Correctional Center,New Richmond,St. Croix,Wisconsin,45.1304917,-92.5706344,8,0,94,94,1,0,7,0,State prison,55109,
Prision,Stanley Correctional Institution,Stanley,Chippewa,Wisconsin,44.9478946,-90.9518177,556,3,1491,1514,421,3,135,0,State prison,55017,
Prision,Taycheedah Correctional Institution,Fond du Lac,Fond du Lac,Wisconsin,43.7982215,-88.3883666,558,1,848,848,473,1,85,0,State prison,55039,
Prision,Thompson Correctional Center,Deerfield,Dane,Wisconsin,43.0244708,-89.0449351,48,0,93,110,40,0,8,0,State prison,55025,
Prision,Waupun Correctional Institution,Waupun,Dodge,Wisconsin,43.6296869,-88.7315889,851,4,1167,1206,722,4,129,0,State prison,55027,
Prision,Winnebago Correctional Center,Winnebago,Winnebago,Wisconsin,44.0649541,-88.513379,92,0,196,196,78,0,14,0,State prison,55139,
Prision,Wisconsin Secure Program Facility,Boscobel,Grant,Wisconsin,43.1432007,-90.682973,48,0,458,458,3,0,45,0,State prison,55043,
Prision,Wyoming Women’s Center,Lusk,Niobrara,Wyoming,42.7678191,-104.4670873,20,0,238,281,3,0,17,0,State prison,56027,
Prision,Wyoming Honor Conservation Camp,Newcastle,Weston,Wyoming,43.8802668,-104.1867793,217,0,213,0,182,0,35,0,State prison,56045,
Prision,Wyoming Honor Farm,Riverton,Fremont,Wyoming,43.049184,-108.3751063,237,0,205,0,203,0,34,0,State prison,56013,
Prision,Wyoming Medium Correctional Institution,Torrington,Goshen,Wyoming,42.0723701,-104.11901,167,0,583,583,71,0,96,0,State prison,56015,
Prision,Wyoming State Penitentiary,Rawlins,Carbon,Wyoming,41.765267,-107.2158143,534,1,601,826,420,1,114,0,State prison,56007,
Prision,Saguaro Correctional Center,Eloy,Pinal,Arizona,32.8079801,-111.5257299,956,3,1738,0,956,3,0,0,State prison,4021,"This facility housed inmates from Hawaii, Idaho, Kansas and Nevada."
Prision,D. Ray James federal prison,Folkston,Charlton,Georgia,30.8737991,-81.9795083,197,3,0,572,197,3,0,0,Federal prison,13049,
Prision,Folkston ICE Processing Center,Folkston,Charlton,Georgia,30.8713845,-81.9811062,104,0,0,0,104,0,0,0,Detention center,13049,
Prision,Polk County Jail,Des Moines,Polk,Iowa,41.653729,-93.587861,366,0,0,0,292,0,74,0,Jail,19153,
Prision,Polk County ICE facility,Des Moines,Polk,Iowa,41.653729,-93.587861,15,0,0,0,15,0,0,0,Detention center,19153,
Prision,Chase County jail,Cottonwood Falls,Chase,Kansas,38.3672666,-96.5384531,0,0,0,0,0,0,0,0,Jail,20017,
Prision,Chase County ICE facility,Cottonwood Falls,Chase,Kansas,38.3672666,-96.5384531,84,0,0,0,84,0,0,0,Detention center,20017,
Prision,Bristol County jail,North Dartmouth,Bristol,Massachusetts,41.6656872,-70.9955909,252,0,0,0,97,0,155,0,Jail,25005,
Prision,Bristol County ICE facility,North Dartmouth,Bristol,Massachusetts,41.6656872,-70.9955909,9,0,0,0,9,0,0,0,Detention center,25005,
Prision,Franklin County jail,Greenfield,Franklin,Massachusetts,42.5970191,-72.6125259,22,0,0,0,12,0,10,0,Jail,25011,
Prision,Franklin County ICE facility,Greenfield,Franklin,Massachusetts,42.5970191,-72.6125259,9,0,0,0,9,0,0,0,Detention center,25011,
Prision,Lincoln County jail,Troy,Lincoln,Missouri,38.9717045,-90.9627585,39,0,0,0,34,0,5,0,Jail,29113,
Prision,Lincoln County ICE facility,Troy,Lincoln,Missouri,38.9717045,-90.9627585,1,0,0,0,1,0,0,0,Detention center,29113,
Prision,Douglas County jail,Omaha,Douglas,Nebraska,41.2533,-95.9382443,439,0,0,0,225,0,214,0,Jail,31055,
Prision,Douglas County ICE facility,Omaha,Douglas,Nebraska,41.2533,-95.9382443,1,0,0,0,1,0,0,0,Detention center,31055,
Prision,Bergen County Jail,Hackensack,Bergen,New Jersey,40.873657,-74.0398387,120,0,0,0,53,0,67,0,Jail,34003,
Prision,Bergen County ICE facility,Hackensack,Bergen,New Jersey,40.873657,-74.0398387,25,0,0,0,24,0,1,0,Detention center,34003,
Prision,Essex County jail,Newark,Essex,New Jersey,40.7444691,-74.1822742,223,0,0,0,37,0,186,0,Jail,34013,
Prision,Essex County ICE facility,Newark,Essex,New Jersey,40.7444691,-74.1822742,25,0,0,0,24,0,1,0,Detention center,34013,
Prision,Hudson County jail,Kearny,Hudson,New Jersey,40.7274726,-74.1073305,263,2,0,0,113,0,150,2,Jail,34017,
Prision,Hudson County ICE facility,Kearny,Hudson,New Jersey,40.7274726,-74.1073305,15,0,0,0,14,0,1,0,Detention center,34017,
Prision,Cibola County Correctional Center,Milan,Cibola,New Mexico,35.1799434,-107.9073388,527,0,0,0,445,0,82,0,Jail,35006,
Prision,Cibola County ICE facility,Milan,Cibola,New Mexico,35.1799434,-107.9073388,1,0,0,0,1,0,0,0,Detention center,35006,
Prision,Otero County correctional facilities,Chaparral,Otero,New Mexico,32.0785239,-106.278305,941,4,1302,0,916,4,25,0,Federal prison,35035,"This location houses federal and state inmates, as well as I.C.E. detainees."
Prision,Morrow County jail,Mount Gilead,Morrow,Ohio,40.5600085,-82.8066471,56,0,0,0,51,0,5,0,Jail,39117,
Prision,Morrow County ICE facility,Mount Gilead,Morrow,Ohio,40.5600085,-82.8066471,51,0,0,0,51,0,0,0,Detention center,39117,
Prision,Tulsa County jail,Tulsa,Tulsa,Oklahoma,36.1573505,-95.999268,396,0,0,0,390,0,6,0,Jail,40143,
Prision,David L. Moss Criminal Justice Center,Tulsa,Tulsa,Oklahoma,36.1573505,-95.999268,0,0,0,0,0,0,0,0,Detention center,40143,
Prision,Pike County jail,Lords Valley,Pike,Pennsylvania,41.3885845,-75.071851,91,2,0,0,67,2,24,0,Jail,42103,
Prision,Pike County ICE facility,Lords Valley,Pike,Pennsylvania,41.3885845,-75.071851,38,0,0,0,38,0,0,0,Detention center,42103,
Prision,York County jail,York,York,Pennsylvania,39.9636493,-76.7277385,785,0,0,0,718,0,67,0,Jail,42133,
Prision,York County ICE facility,York,York,Pennsylvania,39.9858954,-76.6652067,279,0,0,0,279,0,0,0,Detention center,42133,
Prision,Burnet County Jail,Burnet,Burnet,Texas,30.7408233,-98.2528628,273,0,0,0,247,0,26,0,Jail,48053,
Prision,Burnet County ICE detention center,Burnet,Burnet,Texas,30.7408233,-98.2528628,0,0,0,0,0,0,0,0,Detention center,48053,
Prision,Webb County jail,Laredo,Webb,Texas,27.5081867,-99.5060294,535,0,2,0,439,0,96,0,Jail,48479,
Prision,Webb County ICE facility,Laredo,Bottineau,Texas,48.8660968,-101.0162127,134,0,0,0,134,0,0,0,Detention center,38009,
Prision,Purgatory Correctional Facility,Hurricane,Washington,Utah,37.1589723,-113.4118981,283,0,0,0,239,0,44,0,Jail,49053,
Prision,Purgatory ICE facility,Hurricane,Washington,Utah,37.1589723,-113.4118981,6,0,0,0,6,0,0,0,Detention center,49053,
Prision,Weber County jail,Ogden,Weber,Utah,41.2404811,-111.9936559,332,0,0,0,315,0,17,0,Jail,49057,
Prision,Weber County Correctional Facility,Ogden,Weber,Utah,41.2404811,-111.9936559,0,0,0,0,0,0,0,0,Detention center,49057,
Prision,Virginia Peninsula Regional ICE detention center,Williamsburg,James City,Virginia,37.2161561,-76.6026191,0,0,0,0,0,0,0,0,Detention center,51095,
Prision,South Central Regional ICE facility,Charleston,Kanawha,West Virginia,38.3109982,-81.7102291,2,0,0,0,2,0,0,0,Detention center,54039,
Prision,Kenosha County jail,Kenosha,Kenosha,Wisconsin,42.5857887,-87.8234538,262,0,0,0,202,0,60,0,Jail,55059,
Prision,Kenosha County Detention Center,Kenosha,Kenosha,Wisconsin,42.5857887,-87.8234538,0,0,0,0,0,0,0,0,Detention center,55059,
Prision,Baldwin County jail,Bay Minette,Baldwin,Alabama,30.8852554,-87.7747575,47,0,0,0,37,0,10,0,Jail,1003,
Prision,DeKalb County Jail,Fort Payne,DeKalb,Alabama,34.4181175,-85.7729613,87,1,0,0,53,0,34,1,Jail,1049,
Prision,Jefferson County jails,Birmingham,Jefferson,Alabama,33.5226695,-86.8090431,93,0,843,0,91,0,2,0,Jail,1073,This total reflects jail inmate cases county-wide. Facility-level data is unavailable.
Prision,Lauderdale County Jail,Florence,Lauderdale,Alabama,34.7957532,-87.6703264,32,0,256,0,13,0,19,0,Jail,1077,
Prision,Lee County jail,Opelika,Lee,Alabama,32.624028,-85.402336,8,1,330,0,3,1,5,0,Jail,1081,
Prision,Mobile County Metro Jail,Mobile,Mobile,Alabama,30.6811029,-88.042078,292,0,1135,0,232,0,60,0,Jail,1097,
Prision,Montgomery City Jail,Montgomery,Montgomery,Alabama,32.3817778,-86.2976613,35,0,0,0,15,0,20,0,Jail,1101,
Prision,Montgomery County jail,Montgomery,Montgomery,Alabama,32.3743886,-86.3051093,39,0,515,0,21,0,18,0,Jail,1101,
Prision,Shelby County Jail,Columbiana,Shelby,Alabama,33.1846701,-86.6262697,20,0,500,0,10,0,10,0,Jail,1117,
Prision,Tuscaloosa County Jail,Tuscaloosa,Tuscaloosa,Alabama,33.1983299,-87.5672424,239,0,0,0,214,0,25,0,Jail,1125,
Prision,Cochise County jails,Bisbee,Cochise,Arizona,31.4332706,-109.8706746,59,0,0,0,33,0,26,0,Jail,4003,
Prision,Coconino County jails,Flagstaff,Coconino,Arizona,35.1872563,-111.6404576,223,0,300,0,188,0,35,0,Jail,4005,
Prision,Maricopa County jails,Phoenix,Maricopa,Arizona,33.4455714,-112.0783125,3156,0,0,0,2661,0,495,0,Jail,4013,This total reflects jail inmate cases county-wide. Facility-level data is unavailable.
Prision,Mohave County jail,Kingman,Mohave,Arizona,35.1869697,-114.0652236,87,0,391,0,70,0,17,0,Jail,4015,
Prision,Pima County jails,Tucson,Pima,Arizona,32.2004145,-110.9910395,793,2,1450,0,654,2,139,0,Jail,4019,This total reflects jail inmate cases county-wide. Facility-level data is unavailable.
Prision,Pinal County jail,Florence,Pinal,Arizona,33.0403838,-111.3759213,85,0,0,0,85,0,0,0,Jail,4021,
Prision,Yavapai County jail,Camp Verde,Yavapai,Arizona,34.6105597,-111.9165964,75,1,0,0,15,0,60,1,Jail,4025,
Prision,Yuma County jail,Yuma,Yuma,Arizona,32.7245908,-114.6219469,260,0,381,0,165,0,95,0,Jail,4027,
Prision,Benton County jail,Bentonville,Benton,Arkansas,36.3592346,-94.2291355,204,0,0,0,189,0,15,0,Jail,5007,
Prision,Craighead County jail,Jonesboro,Craighead,Arkansas,35.8558204,-90.7338351,28,0,0,0,28,0,0,0,Jail,5031,
Prision,Crawford County jail,Van Buren,Crawford,Arkansas,35.4345109,-94.3561115,41,0,0,0,41,0,0,0,Jail,5033,
Prision,Faulkner County Detention Center,Conway,Faulkner,Arkansas,35.0883886,-92.4434408,22,0,0,0,22,0,0,0,Jail,5045,
Prision,Greene County jail,Paragould,Greene,Arkansas,36.080141,-90.5465821,35,0,0,0,35,0,0,0,Jail,5055,
Prision,Johnson County Detention Center,Clarksville,Johnson,Arkansas,35.4558496,-93.4585757,4,0,0,0,1,0,3,0,Jail,5071,
Prision,Lawrence County jail,Walnut Ridge,Lawrence,Arkansas,36.0705558,-90.9610663,1,0,0,0,1,0,0,0,Jail,5075,
Prision,Miller County Jail,Texarkana,Miller,Arkansas,33.4010759,-94.0223735,0,0,0,0,0,0,0,0,Jail,5091,
Prision,Poinsett County jail,Harrisburg,Poinsett,Arkansas,35.5801672,-90.7160911,1,0,0,0,0,0,1,0,Jail,5111,
Prision,Pulaski County Regional Detention Facility,Little Rock,Pulaski,Arkansas,34.7235501,-92.310331,23,0,928,0,12,0,11,0,Jail,5119,
Prision,Saline County jail,Benton,Saline,Arkansas,34.5561852,-92.5791155,37,0,120,0,34,0,3,0,Jail,5125,
Prision,Sebastian County jail,Fort Smith,Sebastian,Arkansas,35.382767,-94.42511,69,0,0,0,62,0,7,0,Jail,5131,
Prision,Washington County jail,Fayetteville,Washington,Arkansas,36.0618209,-94.1576971,356,0,0,0,301,0,55,0,Jail,5143,
Prision,Santa Rita Jail,Dublin,Alameda,California,37.7174075,-121.8882317,671,0,2213,0,562,0,109,0,Jail,6001,
Prision,Butte County Jail,Oroville,Butte,California,39.5295603,-121.5740145,361,0,549,0,326,0,35,0,Jail,6007,
Prision,Contra Costa County Jail,Martinez,Contra Costa,California,38.0170222,-122.1325706,311,0,0,0,239,0,72,0,Jail,6013,
Prision,Fresno County jail,Fresno,Fresno,California,36.7382113,-119.7897506,3985,1,2042,0,3814,0,171,1,Jail,6019,
Prision,Humboldt County jail,Eureka,Humboldt,California,40.8028265,-124.1621737,14,0,0,0,8,0,6,0,Jail,6023,
Prision,Imperial County jail,El Centro,Imperial,California,32.7485381,-115.5631108,119,0,206,0,54,0,65,0,Jail,6025,
Prision,Kern County jail,Bakersfield,Kern,California,35.3721237,-119.0178527,350,0,1820,0,208,0,142,0,Jail,6029,
Prision,Nidorf Juvenile Hall,Sylmar,Los Angeles,California,34.3147412,-118.4840137,143,0,0,0,67,0,76,0,Jail,6037,
Prision,Central Juvenile Hall,Los Angeles,Los Angeles,California,34.0641421,-118.2071627,158,0,0,0,107,0,51,0,Jail,6037,
Prision,Century Regional Detention Facility,Lynwood,Los Angeles,California,33.9281097,-118.227439,331,1,0,0,256,1,75,0,Jail,6037,
Prision,Men's Central Jail,Los Angeles,Los Angeles,California,34.0590853,-118.2321102,1031,9,0,0,827,9,204,0,Jail,6037,
Prision,North County jail,Castaic,Los Angeles,California,34.4517858,-118.6103215,1564,1,0,0,1443,1,121,0,Jail,6037,
Prision,Pitchess Detention Center,Castaic,Los Angeles,California,34.4514879,-118.6097834,653,2,0,0,539,2,114,0,Jail,6037,
Prision,Twin Towers jail,Los Angeles,Los Angeles,California,34.0588539,-118.2306133,1302,6,0,0,950,6,352,0,Jail,6037,
Prision,Mendocino County Jail,Ukiah,Mendocino,California,39.1600941,-123.2195773,147,1,0,0,132,1,15,0,Jail,6045,
Prision,Merced County jails,,Merced,California,37.1858681,-120.534427,83,0,0,0,64,0,19,0,Jail,6047,This total reflects jail inmate cases county-wide. Facility-level data is unavailable.
Prision,Monterey County Jail,Salinas,Monterey,California,36.7011881,-121.6307591,368,0,909,0,368,0,0,0,Jail,6053,
Prision,Orange County jails,,Orange,California,33.7489556,-117.8774523,2644,1,0,0,2314,1,330,0,Jail,6059,This total reflects jail inmate cases county-wide. Facility-level data is unavailable.
Prision,Placer County jails,,Placer,California,38.8078457,-121.3014795,108,0,0,0,78,0,30,0,Jail,6061,This total reflects jail inmate cases county-wide. Facility-level data is unavailable.
Prision,Plumas County Correctional Facility,Quincy,Plumas,California,39.9338996,-120.9122148,44,0,0,0,28,0,16,0,Jail,6063,
Prision,Riverside County jails,,Riverside,California,33.9789995,-117.374274,1356,3,3364,0,934,2,422,1,Jail,6065,This total reflects jail inmate cases county-wide. Facility-level data is unavailable.
Prision,Sacramento County jails,Sacramento,Sacramento,California,38.5828369,-121.4975867,1961,0,3373,0,1795,0,166,0,Jail,6067,This total reflects jail inmate cases county-wide. Facility-level data is unavailable.
Prision,San Bernardino County jails,,San Bernardino,California,34.1022736,-117.2732659,990,0,5137,0,990,0,0,0,Jail,6071,This total reflects jail inmate cases county-wide. Facility-level data is unavailable.
Prision,San Diego County Jail,San Diego,San Diego,California,32.7173344,-117.1645655,336,0,921,0,336,0,0,0,Jail,6073,
Prision,George Bailey Jail,San Diego,San Diego,California,32.5902007,-116.9212344,443,1,1391,0,443,1,0,0,Jail,6073,
Prision,Vista Detention Facility,Vista,San Diego,California,33.1920859,-117.2569443,172,0,644,0,172,0,0,0,Jail,6073,
Prision,South Bay Detention Facility,Chula Vista,San Diego,California,32.6326976,-117.0777588,108,0,380,0,108,0,0,0,Jail,6073,
Prision,Facility 8 Detention Facility,San Diego,San Diego,California,32.5895334,-116.9197296,1,0,113,0,1,0,0,0,Jail,6073,
Prision,East Mesa Reentry Facility,San Diego,San Diego,California,32.5895117,-116.9196407,121,0,285,0,121,0,0,0,Jail,6073,
Prision,Las Colinas Detention and Re-Entry Facility,Santee,San Diego,California,32.8441454,-116.971795,82,0,432,0,82,0,0,0,Jail,6073,
Prision,San Francisco County jail,San Francisco,San Francisco,California,37.7751349,-122.4048266,209,0,770,0,136,0,73,0,Jail,6075,
Prision,San Joaquin County Jail,French Camp,San Joaquin,California,37.8859826,-121.2959943,213,0,1406,0,202,0,11,0,Jail,6077,
